seconds_elapsed,latitude,longitude,horizontalAccuracy,speed,score,eligible
92.066,37.1851145,127.1038075,6.92,3.35,77,True
93.066,37.1851295,127.1037712,6.77,3.413,79,True
94.066,37.185142,127.1037323,6.66,3.483,79,True
95.066,37.1851523,127.1037035,6.65,3.37,82,True
96.066,37.1851644,127.1036709,6.61,3.253,82,True
97.066,37.1851829,127.103643,6.54,3.179,78,True
98.066,37.1852036,127.1036173,6.38,3.171,78,True
99.066,37.1852169,127.1035865,6.28,3.173,78,True
100.066,37.185232,127.1035548,6.37,3.232,78,True
101.066,37.1852415,127.1035211,6.43,3.187,79,True
102.066,37.1852561,127.1034906,6.52,3.203,79,True
103.066,37.1852758,127.1034613,6.55,3.286,83,True
104.066,37.1852994,127.1034363,6.49,3.314,83,True
105.066,37.1853266,127.1034146,6.37,3.437,56,True
106.066,37.185351,127.1033952,6.26,3.364,56,True
107.066,37.1853784,127.1033802,6.16,3.364,46,True
108.066,37.1854028,127.1033735,6.07,3.122,46,True
109.066,37.1854292,127.1033622,6.07,3.107,49,True
110.066,37.1854386,127.1033898,6.01,2.209,49,True
111.066,37.1854502,127.103372,5.96,1.951,43,True
112.066,37.185456,127.1033385,5.92,2.11,43,True
113.066,37.1854625,127.1033056,5.96,2.755,45,True
114.066,37.1854772,127.1032726,5.95,2.989,45,True
115.066,37.185494,127.1032455,5.83,2.819,40,True
116.066,37.1855113,127.1032341,5.7,2.567,40,True
117.066,37.1855296,127.1032013,5.62,2.951,43,True
118.066,37.1855461,127.1031666,5.58,3.207,43,True
119.066,37.1855651,127.1031317,5.57,3.392,85,True
120.066,37.1855837,127.1030969,5.56,3.528,85,True
121.066,37.185599,127.1030596,5.51,3.638,86,True
122.066,37.185613,127.1030179,5.42,3.754,86,True
123.066,37.1856327,127.1029803,5.48,3.804,86,True
124.066,37.1856495,127.1029405,5.39,3.839,86,True
125.066,37.1856646,127.1029037,5.28,3.94,89,True
126.066,37.1856786,127.1028606,5.25,4.012,89,True
127.066,37.185694,127.1028204,5.21,4.044,80,True
128.066,37.1857077,127.1027749,5.19,4.08,80,True
129.066,37.1857227,127.1027246,5.14,4.1,62,True
130.066,37.1857444,127.1026858,4.99,4.119,62,True
131.066,37.1857565,127.1026422,4.84,4.128,59,True
132.066,37.1857656,127.1025975,4.56,4.29,59,True
133.066,37.1857763,127.1025497,4.43,4.29,66,True
134.066,37.1857836,127.1025045,4.31,4.161,66,True
135.066,37.1857928,127.1024563,4.19,4.285,68,True
136.066,37.1858006,127.1024098,4.08,4.227,68,True
137.066,37.1858091,127.1023668,3.98,4.05,61,True
138.066,37.1858191,127.102324,3.88,4.015,61,True
139.066,37.1858338,127.1022733,3.79,4.463,53,True
140.066,37.185844,127.102245,3.7,3.552,53,True
141.066,37.1858554,127.1022066,3.61,3.474,66,True
142.066,37.185867,127.1021646,3.53,3.703,66,True
143.066,37.1858775,127.1021276,3.46,3.649,92,True
144.066,37.1858842,127.1020854,3.38,3.739,92,True
145.066,37.185888,127.1020461,3.31,3.652,87,True
146.066,37.1858945,127.1020055,3.25,3.654,87,True
147.066,37.1859021,127.1019633,3.19,3.707,89,True
148.066,37.1859101,127.101924,3.13,3.644,89,True
149.066,37.1859213,127.1018862,3.07,3.62,90,True
150.066,37.1859306,127.1018478,3.02,3.579,90,True
151.066,37.1859357,127.1018095,2.97,3.476,80,True
152.066,37.1859378,127.1017694,2.92,3.485,80,True
153.066,37.1859398,127.1017302,2.87,3.468,83,True
154.066,37.1859436,127.1016885,2.83,3.628,83,True
155.066,37.1859502,127.1016504,2.79,3.539,78,True
156.066,37.1859546,127.1016094,2.75,3.618,78,True
157.066,37.1859562,127.1015667,2.71,3.73,76,True
158.066,37.185958,127.1015253,2.67,3.692,76,True
159.066,37.185962,127.1014863,2.64,3.564,87,True
160.066,37.1859706,127.1014453,2.61,3.658,87,True
161.066,37.1859746,127.1014072,2.58,3.564,91,True
162.066,37.1859764,127.1013704,2.55,3.42,91,True
163.066,37.185977,127.1013348,2.54,3.284,64,True
164.066,37.1859757,127.1013025,2.51,3.037,64,True
165.066,37.1859737,127.1012738,2.49,2.756,57,True
166.066,37.1859719,127.101247,2.46,2.553,57,True
167.066,37.1859661,127.1012221,2.44,2.392,43,True
168.066,37.1859582,127.1011981,2.42,2.271,43,True
169.066,37.1859547,127.1011709,2.4,2.294,41,True
170.066,37.1859588,127.1011419,2.38,2.407,41,True
171.066,37.1859686,127.1011118,2.36,2.599,47,True
172.066,37.1859793,127.1010834,2.34,2.626,47,True
173.066,37.185985,127.1010673,2.32,1.966,46,True
174.066,37.1859942,127.1010485,2.31,1.882,46,True
175.066,37.1860073,127.1010401,2.29,1.528,0,False
176.066,37.1860205,127.1010327,2.28,1.456,0,False
177.066,37.1860245,127.1010393,2.26,0.591,0,False
178.066,37.1860212,127.1010421,2.25,0.092,0,False
179.066,37.1860212,127.1010407,2.24,0.21,0,False
180.066,37.1860215,127.1010404,2.23,0.196,0,False
181.066,37.1860213,127.1010414,2.22,0.188,0,False
182.066,37.1860186,127.1010422,2.2,0.026,0,False
183.066,37.1860197,127.1010427,2.19,0.064,0,False
184.066,37.1860182,127.1010435,2.18,0.007,0,False
185.066,37.1860185,127.1010432,2.18,0.034,0,False
186.066,37.1860184,127.1010439,2.17,0.018,0,False
187.066,37.1860188,127.1010433,2.16,0.02,0,False
188.066,37.1860184,127.1010436,2.15,0.011,0,False
189.066,37.186018,127.1010441,2.16,0.009,0,False
190.066,37.1860182,127.1010436,2.15,0.102,0,False
191.066,37.1860181,127.1010444,2.15,0.029,0,False
192.066,37.1860175,127.1010446,2.14,0.018,0,False
193.066,37.1860167,127.1010444,2.13,0.03,0,False
194.066,37.1860161,127.1010443,2.13,0.031,0,False
195.066,37.1860148,127.1010454,2.12,0.023,0,False
196.066,37.1860146,127.1010454,2.12,0.03,0,False
197.066,37.1860137,127.1010453,2.11,0.0,0,False
198.066,37.1860128,127.1010458,2.1,0.008,0,False
199.066,37.1860126,127.1010457,2.1,0.04,0,False
200.066,37.1860124,127.1010457,2.09,0.027,0,False
201.066,37.1860129,127.1010458,2.1,0.044,0,False
202.066,37.1860124,127.1010462,2.1,0.008,0,False
203.066,37.1860138,127.1010461,2.09,0.061,0,False
204.066,37.1860154,127.1010458,2.09,0.062,0,False
205.066,37.1860164,127.1010459,2.08,0.041,0,False
206.066,37.1860175,127.1010461,2.08,0.056,0,False
207.066,37.1860178,127.1010462,2.08,0.0,0,False
208.066,37.1860178,127.1010462,2.07,0.0,0,False
209.066,37.1860178,127.1010462,2.07,0.0,0,False
210.066,37.1860174,127.1010469,2.06,0.024,0,False
211.066,37.1860177,127.1010472,2.06,0.029,0,False
212.066,37.1860178,127.1010472,2.06,0.023,0,False
213.066,37.1860181,127.1010473,2.06,0.018,0,False
214.066,37.1860179,127.1010481,2.05,0.03,0,False
215.066,37.186018,127.1010477,2.05,0.031,0,False
216.066,37.1860175,127.1010483,2.05,0.014,0,False
217.066,37.1860178,127.1010486,2.05,0.013,0,False
218.066,37.1860168,127.101049,2.04,0.015,0,False
219.066,37.1860167,127.101049,2.04,0.0,0,False
220.066,37.1860159,127.1010498,2.05,0.011,0,False
221.066,37.1860167,127.1010499,2.06,0.024,0,False
222.066,37.1860176,127.1010495,2.05,0.038,0,False
223.066,37.1860181,127.1010497,2.06,0.012,0,False
224.066,37.1860184,127.1010496,2.06,0.022,0,False
225.066,37.1860193,127.1010493,2.05,0.009,0,False
226.066,37.1860196,127.1010493,2.05,0.006,0,False
227.066,37.1860205,127.1010489,2.05,0.03,0,False
228.066,37.1860208,127.1010486,2.05,0.013,0,False
229.066,37.1860207,127.1010486,2.04,0.0,0,False
230.066,37.1860207,127.1010486,2.04,0.0,0,False
231.066,37.1860207,127.1010486,2.05,0.0,0,False
232.066,37.1860209,127.10105,2.05,0.026,0,False
233.066,37.1860221,127.1010507,2.05,0.063,0,False
234.066,37.1860221,127.1010505,2.08,0.017,0,False
235.066,37.1860229,127.1010499,2.08,0.025,0,False
236.066,37.1860237,127.101049,2.07,0.0,0,False
237.066,37.1860237,127.101049,2.07,0.0,0,False
238.066,37.1860249,127.1010478,2.07,0.026,0,False
239.066,37.1860251,127.1010477,2.06,0.041,0,False
240.066,37.1860253,127.1010478,2.09,0.019,0,False
241.066,37.1860254,127.1010472,2.08,0.025,0,False
242.066,37.1860249,127.1010474,2.08,0.012,0,False
243.066,37.1860246,127.1010474,2.11,0.0,0,False
244.066,37.1860246,127.1010474,2.11,0.0,0,False
245.066,37.1860233,127.101048,2.1,0.015,0,False
246.066,37.1860242,127.1010473,2.12,0.04,0,False
247.066,37.1860242,127.1010473,2.12,0.0,0,False
248.066,37.1860242,127.1010473,2.11,0.0,0,False
249.066,37.1860242,127.1010473,2.11,0.0,0,False
250.066,37.1860242,127.1010473,2.1,0.0,0,False
251.066,37.1860242,127.1010473,2.1,0.0,0,False
252.066,37.1860318,127.1010445,2.09,0.753,0,False
253.066,37.1860498,127.1010401,2.09,1.774,41,True
254.066,37.1860752,127.1010293,2.08,2.673,41,True
255.066,37.1860926,127.1010206,2.08,2.351,44,True
256.066,37.1861096,127.10101,2.07,2.2,44,True
257.066,37.1861333,127.1009916,2.07,2.743,80,True
258.066,37.1861502,127.1009698,2.07,2.695,80,True
259.066,37.18617,127.100948,2.06,2.81,93,True
260.066,37.1861931,127.100929,2.06,2.952,93,True
261.066,37.1862186,127.1009151,2.06,3.006,70,True
262.066,37.1862475,127.1009033,2.05,3.162,70,True
263.066,37.186272,127.1008873,2.05,3.049,60,True
264.066,37.1862933,127.1008709,2.05,2.896,60,True
265.066,37.1863095,127.1008591,2.05,2.437,61,True
266.066,37.1863179,127.1008489,2.04,1.82,61,True
267.066,37.1863211,127.100838,2.04,1.287,0,False
268.066,37.1863202,127.1008235,2.04,1.073,0,False
269.066,37.1863189,127.1008117,2.04,0.966,0,False
270.066,37.1863178,127.1008088,2.04,0.497,0,False
271.066,37.1863172,127.1008112,2.03,0.06,0,False
272.066,37.186317,127.1008121,2.03,0.0,0,False
273.066,37.1863168,127.1008109,2.03,0.145,0,False
274.066,37.1863165,127.1008122,2.03,0.064,0,False
275.066,37.1863161,127.1008122,2.05,0.124,0,False
276.066,37.1863159,127.1008124,2.05,0.153,0,False
277.066,37.1863155,127.1008127,2.05,0.156,0,False
278.066,37.186315,127.1008135,2.05,0.105,0,False
279.066,37.1863144,127.1008134,2.04,0.112,0,False
280.066,37.1863146,127.1008141,2.04,0.081,0,False
281.066,37.1863148,127.100814,2.04,0.116,0,False
282.066,37.1863155,127.1008141,2.04,0.118,0,False
283.066,37.1863158,127.1008133,2.04,0.132,0,False
284.066,37.186316,127.1008133,2.03,0.119,0,False
285.066,37.1863162,127.1008138,2.04,0.1,0,False
286.066,37.1863164,127.1008139,2.04,0.12,0,False
287.066,37.1863165,127.1008146,2.04,0.115,0,False
288.066,37.1863161,127.1008152,2.04,0.117,0,False
289.066,37.186316,127.1008152,2.04,0.132,0,False
290.066,37.1863157,127.1008143,2.03,0.147,0,False
291.066,37.1863154,127.1008144,2.03,0.119,0,False
292.066,37.1863155,127.1008143,2.04,0.088,0,False
293.066,37.1863153,127.1008143,2.04,0.134,0,False
294.066,37.1863151,127.1008144,2.04,0.123,0,False
295.066,37.186315,127.1008145,2.03,0.106,0,False
296.066,37.1863148,127.1008141,2.03,0.111,0,False
297.066,37.1863143,127.1008145,2.03,0.111,0,False
298.066,37.1863136,127.1008144,2.03,0.104,0,False
299.066,37.1863138,127.1008138,2.03,0.103,0,False
300.066,37.1863138,127.1008145,2.03,0.0,0,False
301.066,37.1863139,127.1008138,2.03,0.1,0,False
302.066,37.1863139,127.1008145,2.02,0.0,0,False
303.066,37.1863139,127.1008145,2.02,0.0,0,False
304.066,37.1863135,127.1008134,2.02,0.12,0,False
305.066,37.1863132,127.1008138,2.02,0.093,0,False
306.066,37.1863132,127.1008144,2.02,0.0,0,False
307.066,37.1863132,127.1008144,2.02,0.0,0,False
308.066,37.1863125,127.1008138,2.04,0.0,0,False
309.066,37.1863122,127.1008129,2.04,0.081,0,False
310.066,37.1863125,127.1008123,2.03,0.089,0,False
311.066,37.1863126,127.1008134,2.03,0.05,0,False
312.066,37.1863121,127.1008139,2.03,0.041,0,False
313.066,37.1863127,127.1008135,2.03,0.06,0,False
314.066,37.1863126,127.1008136,2.03,0.049,0,False
315.066,37.1863126,127.1008135,2.03,0.081,0,False
316.066,37.1863127,127.1008142,2.02,0.0,0,False
317.066,37.1863127,127.1008142,2.02,0.0,0,False
318.066,37.1863127,127.1008142,2.02,0.0,0,False
319.066,37.186313,127.1008149,2.02,0.059,0,False
320.066,37.1863132,127.1008155,2.02,0.053,0,False
321.066,37.1863132,127.1008151,2.02,0.097,0,False
322.066,37.1863131,127.1008157,2.02,0.0,0,False
323.066,37.1863131,127.1008157,2.02,0.0,0,False
324.066,37.1863132,127.1008156,2.02,0.088,0,False
325.066,37.1863127,127.1008156,2.02,0.097,0,False
326.066,37.186313,127.1008155,2.01,0.096,0,False
327.066,37.1863129,127.1008161,2.01,0.0,0,False
328.066,37.1863129,127.1008161,2.01,0.0,0,False
329.066,37.1863127,127.1008157,2.01,0.094,0,False
330.066,37.1863125,127.1008155,2.01,0.102,0,False
331.066,37.1863126,127.1008157,2.01,0.085,0,False
332.066,37.1863125,127.1008154,2.01,0.094,0,False
333.066,37.1863122,127.1008148,2.01,0.108,0,False
334.066,37.1863121,127.1008148,2.01,0.097,0,False
335.066,37.1863125,127.1008153,2.01,0.085,0,False
336.066,37.1863126,127.1008159,2.01,0.0,0,False
337.066,37.1863126,127.1008159,2.01,0.0,0,False
338.066,37.1863126,127.1008159,2.01,0.0,0,False
339.066,37.1863126,127.1008159,2.01,0.0,0,False
340.066,37.1863126,127.1008159,2.01,0.0,0,False
341.066,37.1863126,127.1008159,2.01,0.0,0,False
342.066,37.1863126,127.1008159,2.01,0.0,0,False
343.066,37.1863126,127.1008159,2.01,0.0,0,False
344.066,37.1863126,127.1008159,2.01,0.0,0,False
345.066,37.1863126,127.1008159,2.01,0.0,0,False
346.066,37.1863126,127.1008159,2.01,0.0,0,False
347.066,37.1863126,127.1008159,2.01,0.0,0,False
348.066,37.1863126,127.1008159,2.0,0.0,0,False
349.066,37.1863134,127.1008136,2.0,0.107,0,False
350.066,37.1863135,127.1008136,2.0,0.111,0,False
351.066,37.1863134,127.1008143,2.0,0.0,0,False
352.066,37.1863134,127.1008143,2.0,0.0,0,False
353.066,37.1863134,127.1008143,2.0,0.0,0,False
354.066,37.1863134,127.1008143,2.0,0.0,0,False
355.066,37.1863134,127.1008143,2.0,0.0,0,False
356.066,37.1863134,127.1008143,2.0,0.0,0,False
357.066,37.1863134,127.1008143,2.0,0.0,0,False
358.066,37.1863143,127.1008129,2.0,0.124,0,False
359.066,37.1863144,127.100813,2.0,0.115,0,False
360.066,37.1863143,127.1008126,2.0,0.146,0,False
361.066,37.1863162,127.1008026,2.0,0.876,51,True
362.066,37.1863207,127.1007805,2.0,1.776,51,True
363.066,37.1863262,127.1007551,2.0,2.259,77,True
364.066,37.1863281,127.1007292,2.0,2.321,77,True
365.066,37.1863298,127.1006985,2.0,2.586,54,True
366.066,37.1863325,127.1006655,2.0,2.869,54,True
367.066,37.186336,127.100631,2.0,3.045,56,True
368.066,37.1863413,127.1005977,2.0,3.005,56,True
369.066,37.1863461,127.100565,2.0,2.985,94,True
370.066,37.1863472,127.1005289,2.0,3.125,94,True
371.066,37.186347,127.1004912,2.0,3.291,62,True
372.066,37.1863479,127.1004522,2.0,3.428,62,True
373.066,37.1863505,127.1004133,2.02,3.454,55,True
374.066,37.1863526,127.1003753,2.02,3.411,55,True
375.066,37.1863557,127.1003361,2.02,3.43,50,True
376.066,37.1863602,127.1002964,2.01,3.515,50,True
377.066,37.1863707,127.1002605,2.01,3.398,44,True
378.066,37.1863814,127.1002286,2.01,3.162,44,True
379.066,37.1863989,127.1002031,2.01,2.988,42,True
380.066,37.1864124,127.1001775,2.01,2.879,42,True
381.066,37.1864293,127.1001527,2.01,2.908,41,True
382.066,37.1864448,127.1001224,2.01,3.056,41,True
383.066,37.1864652,127.1000912,2.01,3.298,46,True
384.066,37.1864852,127.1000789,2.01,2.687,46,True
385.066,37.1865071,127.1000841,2.01,2.188,42,True
386.066,37.1865227,127.1000982,2.01,1.862,42,True
387.066,37.1865458,127.10011,2.02,2.246,42,True
388.066,37.1865647,127.1001107,2.02,2.159,42,True
389.066,37.1865821,127.1001032,2.02,2.017,52,True
390.066,37.1865998,127.1000915,2.02,2.072,52,True
391.066,37.1866193,127.1000783,2.02,2.298,50,True
392.066,37.1866383,127.1000663,2.02,2.378,50,True
393.066,37.1866533,127.1000577,2.02,2.141,55,True
394.066,37.186682,127.1000409,2.02,2.819,55,True
395.066,37.1867068,127.1000285,2.01,2.954,53,True
396.066,37.1867338,127.1000174,2.01,3.111,53,True
397.066,37.1867552,127.1000077,2.01,2.816,47,True
398.066,37.186775,127.0999954,2.01,2.552,47,True
399.066,37.1867976,127.0999845,2.01,2.559,56,True
400.066,37.186821,127.0999785,2.01,2.608,56,True
401.066,37.1868402,127.0999694,2.01,2.377,56,True
402.066,37.186865,127.0999578,2.01,2.628,56,True
403.066,37.186886,127.0999466,2.01,2.618,60,True
404.066,37.1869054,127.0999367,2.01,2.467,60,True
405.066,37.1869251,127.0999235,2.01,2.44,59,True
406.066,37.1869439,127.0999122,2.01,2.408,59,True
407.066,37.1869647,127.0998987,2.01,2.452,64,True
408.066,37.1869873,127.0998883,2.01,2.57,64,True
409.066,37.18701,127.0998803,2.01,2.579,67,True
410.066,37.1870342,127.0998692,2.01,2.72,67,True
411.066,37.1870557,127.0998592,2.01,2.65,62,True
412.066,37.1870799,127.0998462,2.01,2.774,62,True
413.066,37.1871031,127.0998334,2.01,2.791,54,True
414.066,37.1871251,127.0998236,2.01,2.736,54,True
415.066,37.1871517,127.0998106,2.01,2.917,50,True
416.066,37.1871767,127.0997978,2.0,2.98,50,True
417.066,37.1872006,127.0997853,2.0,2.917,49,True
418.066,37.1872249,127.0997738,2.0,2.879,49,True
419.066,37.1872481,127.0997629,2.0,2.784,52,True
420.066,37.1872669,127.099753,2.0,2.49,52,True
421.066,37.1872938,127.0997417,2.03,2.817,59,True
422.066,37.1873177,127.0997322,2.05,2.846,59,True
423.066,37.1873413,127.0997217,2.06,2.865,51,True
424.066,37.1873674,127.0997116,2.07,2.942,51,True
425.066,37.1873925,127.0997012,2.67,2.951,54,True
426.066,37.1874219,127.0996905,3.25,3.166,54,True
427.066,37.1874504,127.0996758,3.8,3.324,55,True
428.066,37.1874711,127.0996669,4.32,2.77,55,True
429.066,37.1874982,127.0996543,4.82,2.873,54,True
430.066,37.1875279,127.099646,5.29,3.096,54,True
431.066,37.1875589,127.0996398,5.74,3.3,56,True
432.066,37.1875827,127.0996383,6.17,2.964,56,True
433.066,37.1876111,127.0996366,6.57,3.062,55,True
434.066,37.1876384,127.0996327,6.95,3.126,55,True
435.066,37.1876633,127.0996263,7.32,3.053,42,True
436.066,37.1876873,127.0996156,7.66,2.958,42,True
437.066,37.1877152,127.0996052,7.99,3.081,42,True
438.066,37.1877422,127.0995915,8.31,3.171,42,True
439.066,37.187763,127.0995804,8.6,2.827,41,True
440.066,37.1877907,127.0995675,8.88,3.059,41,True
441.066,37.1878172,127.0995577,9.15,3.055,42,True
442.066,37.1878475,127.0995373,9.41,3.454,42,True
443.066,37.1878694,127.0995285,9.65,3.026,41,True
444.066,37.1878957,127.0995155,9.88,3.105,41,True
445.066,37.1879174,127.0995118,10.1,2.744,43,True
446.066,37.1879475,127.0994939,10.31,3.218,43,True
447.066,37.1879683,127.0994843,10.5,2.864,49,True
448.066,37.1879953,127.0994687,10.69,3.08,49,True
449.066,37.188022,127.099461,10.87,3.071,57,True
450.066,37.1880343,127.0994566,11.04,2.266,57,True
451.066,37.188039,127.0994553,11.2,1.377,45,True
452.066,37.1880593,127.0994517,11.35,1.835,45,True
453.066,37.1880753,127.0994326,11.49,2.057,59,True
454.066,37.1880983,127.0994109,11.63,2.67,59,True
455.066,37.1881174,127.0993971,11.76,2.562,51,True
456.066,37.1881439,127.0993906,11.89,2.718,51,True
457.066,37.1881746,127.0993834,12.0,3.112,48,True
458.066,37.1882042,127.0993722,12.12,3.29,48,True
459.066,37.1882294,127.0993608,12.22,3.092,47,True
460.066,37.1882506,127.0993493,12.32,2.783,47,True
461.066,37.1882752,127.0993353,12.42,2.868,55,True
462.066,37.1883027,127.0993244,12.51,3.052,55,True
463.066,37.1883312,127.0993112,12.6,3.221,54,True
464.066,37.1883591,127.0992971,12.68,3.286,54,True
465.066,37.1883846,127.0992851,12.76,3.129,52,True
466.066,37.188414,127.0992729,12.83,3.276,52,True
467.066,37.1884434,127.0992601,12.9,3.387,57,True
468.066,37.1884687,127.099244,12.97,3.264,57,True
469.066,37.188495,127.0992343,13.03,3.113,63,True
470.066,37.1885258,127.0992221,13.1,3.255,63,True
471.066,37.1885525,127.0992076,13.15,3.224,53,True
472.066,37.1885777,127.0991948,13.21,3.105,53,True
473.066,37.1886047,127.099183,13.26,3.133,48,True
474.066,37.1886267,127.0991691,13.31,2.9,48,True
475.066,37.1886577,127.0991589,13.36,3.132,51,True
476.066,37.1886834,127.0991484,13.4,3.109,51,True
477.066,37.1887048,127.0991363,13.44,2.886,53,True
478.066,37.1887315,127.0991243,13.48,2.994,53,True
479.066,37.1887549,127.0991113,13.52,2.917,58,True
480.066,37.1887816,127.0990996,13.56,3.026,58,True
481.066,37.1888102,127.0990878,13.59,3.191,53,True
482.066,37.1888332,127.099075,13.62,3.015,53,True
483.066,37.1888642,127.0990598,13.66,3.329,61,True
484.066,37.1888903,127.0990469,13.68,3.207,61,True
485.066,37.1889134,127.0990315,13.71,3.018,61,True
486.066,37.1889357,127.099018,13.74,2.84,61,True
487.066,37.1889536,127.0990129,13.76,2.368,50,True
488.066,37.1889844,127.0989973,13.79,2.94,50,True
489.066,37.1890138,127.0989864,13.81,3.163,49,True
490.066,37.1890403,127.0989758,13.83,3.118,49,True
491.066,37.1890695,127.0989651,13.85,3.254,44,True
492.066,37.1890939,127.0989534,13.87,2.992,44,True
493.066,37.1891236,127.0989393,13.89,3.198,43,True
494.066,37.189147,127.0989282,13.91,2.962,43,True
495.066,37.1891725,127.0989171,13.93,2.94,45,True
496.066,37.1891982,127.0989048,13.94,2.923,45,True
497.066,37.1892293,127.0988971,13.96,3.179,44,True
498.066,37.1892511,127.0988872,13.97,2.815,44,True
499.066,37.1892776,127.0988759,13.99,2.941,44,True
