노선명,노선번호,시도명,시군구명,기점도로명주소,기점지번주소,종점도로명주소,종점지번주소,기점위도,기점경도,종점위도,종점경도,주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자
경기대로,,경기도,화성시,,경기도 화성시 병점구 병점동 374-7,,경기도 화성시 병점구 병점동 399-4,37.2055545241,127.0366468646,37.2037031601,127.0365756072,,0.4,,1.2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1R,,경기도,화성시,,경기도 화성시 병점구 병점동 3-7,,경기도 화성시 병점구 반월동 649-4,,,,,,0.8,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1L,,경기도,화성시,,경기도 화성시 병점구 병점동 3-7,,경기도 화성시 병점구 반월동 649-4,,,,,,0.8,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1R(기점->1),,경기도,화성시,,경기도 화성시 병점구 반정동 90-2,,경기도 화성시 병점구 기산동 21-5,37.2357369123,127.0354281052,37.2186010647,127.0560393294,,3,,5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1L(기점->1),,경기도,화성시,,경기도 화성시 병점구 반정동 73-25,,경기도 화성시 병점구 반월동 640-8,37.2358981701,127.035530669,37.2188446551,127.0564212205,,3.9,,5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점중앙로 1R(기점->1),,경기도,화성시,,경기도 화성시 병점구 진안동 934-4,,경기도 화성시 병점구 진안동 935-1,37.2192653625,127.0383386073,37.2149728184,127.0357753632,,0.9,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점중앙로 1R(2->종점),,경기도,화성시,,경기도 화성시 병점구 병점동 312-3,,경기도 화성시 병점구 능동 674-6,,,,,,0.9,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점중앙로 1L(기점->1),,경기도,화성시,,경기도 화성시 병점구 진안동 934-4,,경기도 화성시 병점구 진안동 934-4,37.2192653625,127.0383386073,37.2192653625,127.0383386073,,0.5,,3.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점중앙로 1L(1->2),,경기도,화성시,,경기도 화성시 병점구 진안동 934-4,,경기도 화성시 병점구 진안동 896,37.2192653625,127.0383386073,37.2142198555,127.0365008053,,0.5,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점중앙로 1L(2->종점),,경기도,화성시,,경기도 화성시 병점구 병점동 312-3,,경기도 화성시 병점구 능동 674-6,,,,,,0.9,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점1로 1R,,경기도,화성시,,경기도 화성시 병점구 진안동 930-12,,경기도 화성시 병점구 병점동 843-16,37.2183203722,127.0371293059,37.2063517805,127.0466903327,,2.07,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점1로 1L,,경기도,화성시,,경기도 화성시 병점구 진안동 930-7,,경기도 화성시 병점구 병점동 454-12,37.2171927079,127.0394445797,,,,2,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점1로 1L,,경기도,화성시,,경기도 화성시 병점구 병점동 454-12,,경기도 화성시 병점구 병점동 818,,,37.2029925514,127.0409305614,,0.4,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점4로,,경기도,화성시,,경기도 화성시 병점구 진안동 930-1,,경기도 화성시 병점구 진안동 930-4,37.2165917229,127.0417872859,37.2159454803,127.0455538004,,0.56,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
서부로 R,,경기도,화성시,,경기도 화성시 병점구 안녕동 51-2,,경기도 화성시 병점구 송산동 194-12,37.2018891912,127.0123031888,37.2100536064,127.0040443498,,1.2,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
서부로 L,,경기도,화성시,,경기도 화성시 병점구 안녕동 51-2,,경기도 화성시 병점구 송산동 196-3,37.2018891912,127.0123031888,37.2099510709,127.0032649314,,1.3,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
만년로 R,,경기도,화성시,,경기도 화성시 병점구 정남면 괘랑리 267-1,,경기도 화성시 병점구 안녕동 140-4,,,37.1929661688,127.0053792639,,3.2,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1R(2->3),,경기도,화성시,,경기도 화성시 병점구 안녕동 188-540,,경기도 화성시 병점구 안녕동 186-31,37.2122408928,126.9831146708,37.2070468367,126.9886945479,,0.7,,1.8,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1R(3->4),,경기도,화성시,,경기도 화성시 병점구 안녕동 186-31,,경기도 화성시 병점구 안녕동 170-52,37.2070468367,126.9886945479,37.2056297567,126.9937154578,,0.5,,3.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1R(4->5),,경기도,화성시,,경기도 화성시 병점구 안녕동 170-52,,경기도 화성시 병점구 안녕동 10-109,37.2056297567,126.9937154578,37.2048736694,127.0157189177,,2.4,,1.8,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1R(5->종점),,경기도,화성시,,경기도 화성시 병점구 안녕동 10-109,,경기도 화성시 병점구 안녕동 10-1,37.2048736694,127.0157189177,37.2054324375,127.0217086701,,0.6,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1R(기점->1),,경기도,화성시,,경기도 화성시 병점구 병점동 843-13,,경기도 화성시 병점구 병점동 843-13,37.2151909654,127.048518959,37.2151909654,127.048518959,,0.9,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1R(2->종점),,경기도,화성시,,경기도 화성시 병점구 능동 155-4,,경기도 화성시 병점구 능동 155-4,,,,,,2.3,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1L(기점->1),,경기도,화성시,,경기도 화성시 병점구 봉담읍 와우리 42-1,,경기도 화성시 병점구 안녕동 198-1,,,37.2023535337,126.9992165466,,2.2,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1L(1->2),,경기도,화성시,,경기도 화성시 병점구 안녕동 198-1,,경기도 화성시 병점구 안녕동 198-1,37.2023535337,126.9992165466,37.2023535337,126.9992165466,,0.36,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1L(2->3),,경기도,화성시,,경기도 화성시 병점구 안녕동 198-1,,경기도 화성시 병점구 안녕동 195-1,37.2023535337,126.9992165466,37.2006280651,127.0099521115,,0.5,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1L(3->종점),,경기도,화성시,,경기도 화성시 병점구 안녕동 195-1,,경기도 화성시 병점구 안녕동 39-7,37.2006280651,127.0099521115,37.203580025,127.0142337066,,0.6,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1L(기점->1),,경기도,화성시,,경기도 화성시 병점구 병점동 843-13,,경기도 화성시 병점구 병점동 843-13,37.2151909654,127.048518959,37.2151909654,127.048518959,,0.9,,3.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 1L(2->종점),,경기도,화성시,,경기도 화성시 병점구 능동 155-4,,경기도 화성시 병점구 반월동 124-19,,,,,,2.3,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
효행로 707번길,,경기도,화성시,,경기도 화성시 병점구 안녕동 219,,경기도 화성시 병점구 안녕동 219,37.201132897,127.0079425895,37.201132897,127.0079425895,,0.42,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 27번길,,경기도,화성시,,경기도 화성시 병점구 반월동 184-13,,경기도 화성시 병점구 반월동 856-3,,,,,,0.47,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 61번길 1R,,경기도,화성시,,경기도 화성시 병점구 반월동 855,,경기도 화성시 병점구 반월동 856-3,,,,,,0.41,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 61번길 1L,,경기도,화성시,,경기도 화성시 병점구 반월동 855,,경기도 화성시 병점구 반월동 870,,,,,,0.41,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 50번길 1R,,경기도,화성시,,경기도 화성시 병점구 반월동 62-2,,경기도 화성시 병점구 반월동67-4,,,,,,0.44,,1.2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 50번길 1L,,경기도,화성시,,경기도 화성시 병점구 반월동 32-6,,경기도 화성시 병점구 반월동 882,,,,,,0.45,,1.2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 26번길 1R,,경기도,화성시,,경기도 화성시 병점구 반월동 88-4,,경기도 화성시 병점구 반월동 885-6,,,,,,0.29,,1.2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 26번길 1L,,경기도,화성시,,경기도 화성시 병점구 반월동 66-4,,경기도 화성시 병점구 반월동 77-6,,,,,,0.29,,1.2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 1R,,경기도,화성시,,경기도 화성시 병점구 반월동 25-6,,경기도 화성시 병점구 반월동 124-6,,,,,,0.68,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
영통로 1L,,경기도,화성시,,경기도 화성시 병점구 반월동 25-7,,경기도 화성시 병점구 반월동 124-18,,,,,,0.65,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1R(기점->1),,경기도,화성시,,경기도 화성시 병점구 반월동 670-8,,경기도 화성시 병점구 반월동 311-148,,,,,,0.15,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1R(2->3),,경기도,화성시,,경기도 화성시 병점구 기산동 222-14,,경기도 화성시 병점구 기산동 456-10,,,,,,0.62,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1R(3->4),,경기도,화성시,,경기도 화성시 병점구 기산동 456-10,,경기도 화성시 병점구 기산동 475,,,,,,0.61,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1R(4->5),,경기도,화성시,,경기도 화성시 병점구 기산동 475,,경기도 화성시 병점구 능동 1225,,,,,,0.88,,3,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1L(기점->1),,경기도,화성시,,경기도 화성시 병점구 반월동 311-181,,경기도 화성시 병점구 반월동 311-173,,,,,,0.15,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1L(2->3),,경기도,화성시,,경기도 화성시 병점구 반월동 959-3,,경기도 화성시 병점구 반월동 959-3,,,,,,0.17,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1L(4->5),,경기도,화성시,,경기도 화성시 병점구 반월동 781-1,,경기도 화성시 병점구 기산동 458-19,,,,,,0.66,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1L(5->6),,경기도,화성시,,경기도 화성시 병점구 기산동 458-19,,경기도 화성시 병점구 기산동 106-7,,,,,,0.59,,4,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄지성로 1L(6->종점),,경기도,화성시,,경기도 화성시 병점구 기산동 106-7,,경기도 화성시 병점구 능동 444-5,,,,,,0.75,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1R,,경기도,화성시,,경기도 화성시 병점구 반월동 645-3,,경기도 화성시 병점구 반월동 559,,,,,,0.56,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1L,,경기도,화성시,,경기도 화성시 병점구 반월동 559,,경기도 화성시 병점구 반월동 645-3,,,,,,0.56,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 2-43R,,경기도,화성시,,경기도 화성시 병점구 반월동 944-1,,경기도 화성시 병점구 반월동 944-1,,,,,,0.44,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 2-43L,,경기도,화성시,,경기도 화성시 병점구 반월동 944-1,,경기도 화성시 병점구 반월동 944-1,,,,,,0.44,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 2-45R,,경기도,화성시,,경기도 화성시 병점구 반월동 947-2,,경기도 화성시 병점구 반월동 947-2,,,,,,0.29,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로2-45L,,경기도,화성시,,경기도 화성시 병점구 반월동 947-2,,경기도 화성시 병점구 반월동 947-2,,,,,,0.29,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1R,,경기도,화성시,,경기도 화성시 병점구 반월동 564-11,,경기도 화성시 병점구 반월동 491-2,,,,,,0.6,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄원천로 1L,,경기도,화성시,,경기도 화성시 병점구 반월동 564-8,,경기도 화성시 병점구 반월동 491-3,,,,,,0.6,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
10용사로 1R(기점->1),,경기도,화성시,,경기도 화성시 병점구 능동 674,,경기도 화성시 병점구 능동 643-12,,,,,,0.4,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
동탄공원로,11,경기도,화성시,,경기도 화성시 동탄구 능동 1223,,경기도 화성시 동탄구 능동 1241,,,,,,1,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
북삼미로 1R,12R,경기도,화성시,,경기도 화성시 동탄구 능동 986-4,,경기도 화성시 동탄구 능동 992-17,,,,,,0.1,,2.4,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
북삼미로 1L,12L,경기도,화성시,,경기도 화성시 동탄구 능동 986-4,,경기도 화성시 동탄구 능동 992-17,,,,,,0.08,,2.4,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄공원로 R (종점),13,경기도,화성시,,경기도 화성시 동탄구 능동 1239,,경기도 화성시 동탄구 반송동 257,37.201507508,127.0548313714,,,,0.87,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
미래로,14,경기도,화성시,,경기도 화성시 동탄구 능동 1231,,경기도 화성시 동탄구 능동 1231,,,,,,0.24,,1.8,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
중로 3-2호선,15,경기도,화성시,,경기도 화성시 동탄구 능동 1219,,경기도 화성시 동탄구 능동 1220,,,,,,0.43,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
소로 1-49,16,경기도,화성시,,경기도 화성시 동탄구 능동 1237,,경기도 화성시 동탄구 능동 1238,,,,,,0.61,,1.8,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
여울로,17,경기도,화성시,,경기도 화성시 동탄구 능동 1202,,경기도 화성시 동탄구 능동 1245,,,,,,1.88,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
10용사로 1R(기점->1),18R,경기도,화성시,,경기도 화성시 동탄구 능동 674,,경기도 화성시 동탄구 능동 643-12,,,,,,0.4,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
10용사로 1L,18L,경기도,화성시,,경기도 화성시 동탄구 능동 674,,경기도 화성시 동탄구 반송동 632-1,,,,,,4.2,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄숲속로,26,경기도,화성시,,경기도 화성시 병점구 병점동 853-1,,경기도 화성시 동탄구 능동 1233,,,,,,0.96,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄중앙로 1R,34R,경기도,화성시,,경기도 화성시 동탄구 석우동 108,,경기도 화성시 동탄구 반송동 264-3,,,,,,3.31,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄중앙로 1L,34L,경기도,화성시,,경기도 화성시 동탄구 석우동 108,,경기도 화성시 동탄구 반송동 264-3,,,,,,3.05,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄반석로,35,경기도,화성시,,경기도 화성시 동탄구 석우동 112,,경기도 화성시 동탄구 반송동 289-2,,,,,,2.42,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
노작로 1R,36R,경기도,화성시,,경기도 화성시 동탄구 석우동 116,,경기도 화성시 동탄구 반송동 243-4,,,,,,1.91,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
노작로 1L,36L,경기도,화성시,,경기도 화성시 동탄구 석우동 116,경기도 화성시 동탄구 노작로 206,,,,,,,0.78,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
노작로 1L(기점->1),36L,경기도,화성시,경기도 화성시 동탄구 노작로 206,,,경기도 화성시 동탄구 여울동 1059,,,,,,2.2,,1.6,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
노작로 1L(1->종점),36L,경기도,화성시,,경기도 화성시 동탄구 여울동 1059,,경기도 화성시 동탄구 여울동 1060,,,37.1983028211,127.0866204062,,0.4,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
삼성로,37,경기도,화성시,,경기도 화성시 동탄구 석우동 53-1,,경기도 화성시 동탄구 석우동 49-2,,,,,,0.49,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
메타폴리스로(종점),41,경기도,화성시,,경기도 화성시 동탄구 반송동 98,,경기도 화성시 동탄구 반송동 92-7,,,,,,0.43,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
메타폴리스로(기점),41,경기도,화성시,,경기도 화성시 동탄구 반송동 98,,경기도 화성시 동탄구 반송동 92-7,,,,,,0.43,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄문화센터로,42R,경기도,화성시,,경기도 화성시 동탄구 반송동 142-1,,경기도 화성시 동탄구 반송동 132-3,,,,,,0.6,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄문화센터로,42L,경기도,화성시,,경기도 화성시 동탄구 반송동 77-12,,경기도 화성시 동탄구 반송동 106-7,,,,,,0.67,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄솔빛로 R(기점->1),43R,경기도,화성시,,경기도 화성시 동탄구 반송동 134-1,,경기도 화성시 동탄구 반송동 266,,,,,,0.3,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄솔빛로 R(기점->1),43R,경기도,화성시,,경기도 화성시 동탄구 반송동 134-1,,경기도 화성시 동탄구 반송동 266,,,,,,0.5,,1.8,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄솔빛로 L,43L,경기도,화성시,,경기도 화성시 동탄구 반송동 222-1,,경기도 화성시 동탄구 반송동 199-1,,,,,,0.78,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄나루로,44,경기도,화성시,,경기도 화성시 동탄구 반송동 290,,경기도 화성시 동탄구 반송동 290-2,,,,,,0.79,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄시범한빛길,45,경기도,화성시,,경기도 화성시 동탄구 반송동 231,,경기도 화성시 동탄구 반송동 231,,,,,,0.42,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄반송길,46,경기도,화성시,,경기도 화성시 동탄구 반송동 226,,경기도 화성시 동탄구 반송동 226-1,37.2108987868,127.0647765693,,,,0.32,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄공원 2길,47,경기도,화성시,,경기도 화성시 동탄구 반송동 246,,경기도 화성시 동탄구 반송동 59,,,,,,0.52,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
센트럴파크-2,48,경기도,화성시,,경기도 화성시 동탄구 반송동 59,,경기도 화성시 동탄구 반송동 59,,,,,,0.5,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
금반2길(기점->1),49,경기도,화성시,,경기도 화성시 동탄구 반송동 303,,경기도 화성시 동탄구 반송동 303-1,,,,,,0.3,,1.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
효행로291번길 1R,51,경기도,화성시,,경기도 화성시 동탄구 능동 1200,,경기도 화성시 동탄구 능동 1222,,,,,,0.48,,2,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
오산천자전거도로,99,경기도,화성시,,경기도 화성시 동탄구 석우동 45,,경기도 화성시 동탄구 반송동 574-9,,,,,,3.4,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
오산천 자전거도로,99,경기도,화성시,,경기도 화성시 동탄구 석우동 24-1,,경기도 화성시 동탄구 석우동 561-6,,,,,,2.1,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄대로R,203,경기도,화성시,,경기도 화성시 동탄구 장지동 1070,,경기도 화성시 동탄구 장지동 929-1,,,,,,0.7,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄대로R,207,경기도,화성시,,경기도 화성시 동탄구 장지동 산 2-5,,경기도 화성시 동탄구 장지동 231,,,,,,0.5,,3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
경기동로L,210,경기도,화성시,,경기도 화성시 동탄구 장지동 1043,,경기도 화성시 동탄구 장지동 1058,,,,,,1,,4.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
경기동로R,213,경기도,화성시,,경기도 화성시 동탄구 장지동 1097,,경기도 화성시 동탄구 장지동 526,,,,,,0.5,,5.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
경기동로L,214,경기도,화성시,,경기도 화성시 동탄구 장지동 1097,,경기도 화성시 동탄구 장지동 526,,,,,,0.5,,4.3,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄대로2길L,220,경기도,화성시,,경기도 화성시 동탄구 장지동 472-4,,경기도 화성시 동탄구 장지동 534-8,,,,,,0.5,,5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄대로2길R,221,경기도,화성시,,경기도 화성시 동탄구 장지동 472-4,,경기도 화성시 동탄구 장지동 534-8,,,,,,0.5,,5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄산척로L,222,경기도,화성시,,경기도 화성시 동탄구 송동 691-1,,경기도 화성시 동탄구 산척동 792-3,,,,,,1.7,,4.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄산척로R,223,경기도,화성시,,경기도 화성시 동탄구 송동 산 49-34,,경기도 화성시 동탄구 송동 681-483,,,,,,0.54,,3.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄산척로R(종점),224,경기도,화성시,,경기도 화성시 동탄구 산척동 717-1,,경기도 화성시 동탄구 산척동 723,,,,,,1.1,,3.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄순환대로L,226,경기도,화성시,,경기도 화성시 동탄구 송동 717-1,,경기도 화성시 동탄구 송동 725-13,,,,,,1.2,,4.5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
동탄순환대로3길L,228,경기도,화성시,,경기도 화성시 동탄구 송동 705-1,,경기도 화성시 동탄구 송동 716,,,,,,0.25,,5,자전거보행자겸용도로,Y,경기도 화성시 동탄구청 안전건설과,031-5189-6860,2026-06-01
